Bill,Bill Long Title,Last Action Date,Year,Sponsor,Sponsor District,Co-Sponsor,Co-Sponsor District,Last Action,Last Activity Comments,General assembly,Session,Bill String,LR Number
HB 4,"Appropriates money for the expenses, grants, refunds, and distributions of the Department of Revenue and the Department of Transportation.",6/22/01,2001,"Green, Tim",73,"Legan, Kenneth",141,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 4,0004L.04T
HB 5,"Appropriates money for the expenses, grants, refunds, and distributions of the Office of Administration, the Department of Transportation, and the Chief Executive's Office.",6/22/01,2001,"Green, Tim",73,"Kreider, Jim",142,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 5,0005L.04T
HB 6,"Appropriates money for the expenses, grants, refunds, and distributions of the Department of Agriculture, Department of Natural Resources, Department of Conservation, and several divisions.",6/22/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 6,0006L.04T
HB 7,"Appropriates money for the expenses, grants, refunds, and distributions of the Department of Economic Development, Department of Insurance, and Department of Labor and Industrial Relations.",6/22/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 7,0007L.04T
HB 8,"Appropriates money for the expenses, grants, refunds, and distributions of the Department of Public Safety. ",6/22/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 8,0008L.04T
HB 9,"Appropriates money for the expenses, grants, refunds, and distributions of the Department of Corrections. ",9/12/01,2001,"Green, Tim",73,,,Failed to Pass over Veto (H),AYES:  73                                         NOES:  77,91,First regular,CCS SCS HCS HB 9,0009L.04T
HB 10,"Appropriates money for the expenses, grants, refunds, and distributions of the Department of Mental Health, the Board of Public Buildings, and the Department of Health.",9/12/01,2001,"Green, Tim",73,,,Failed to Pass over Veto (H),AYES:  79                                         NOES:  58,91,First regular,CCS SCS HCS HB 10,0010L.04T
HB 11,"Appropriates money for the expenses, grants, and distrubtions of the Department of Social Services. ",9/12/01,2001,"Green, Tim",73,,,Failed to Pass over Veto (H),,91,First regular,CCS SCS HCS HB 11,0011L.04T
HB 12,"Appropriates money for the expenses, grants, refunds, and distributions of the Governor, Lt. Governor, Secretary of State, Auditor, Treasurer, Attorney General, Legislature, and others.",6/22/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 12,0012L.04T
HB 13,"Appropriates money for real property leases, related services, utilities, and systems furniture, structural modifications for new FTE for state departments, and capital improvements.",6/22/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 13,0013L.04T
HB 14,Appropriates money for expenditure from payments to the state under the Master Settlement Agreement with tobacco companies. ,6/22/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 14,0014L.04T
HB 15,"Appropriates money for supplemental purposes, claims for refunds, and transfer of money among certain funds. ",4/26/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 15,0015L.04T
HB 16,Reappropriates money for capital improvement and other purposes.  ,7/12/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HB 16,0016L.03T
HB 17,"Reappropriates money for expenses, grants, refunds, distributions, and other purposes. ",6/22/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,SCS HB 17,0017S.02T
HB 18,"Appropriates money for capital improvement projects involving maintenance, repair, replacement, and improvement of state buildings and facilities, including installation, modification, and renovation.",6/22/01,2001,"Green, Tim",73,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 18,0018L.04T
HB 19,"Appropriates money for planning, expenses, and for capital improvements including, but not limited to, major additions and renovations.",9/12/01,2001,"Green, Tim",73,,,Failed to Pass over Veto (H),AYES:  76                                         NOES:  55,91,First regular,CCS SCS HCS HB 19,0019L.04T
HB 45,Removes the one-year residency requirement for the Commissioner of Education. ,6/8/01,2001,"Farnen, Theodore",21,,,Delivered to Secretary of State (G),,91,First regular,HB 45,0047L.02T
HB 48,Amends various provisions relating to embalmers and funeral directors. ,7/10/01,2001,"Relford, Randall",6,,,Delivered to Secretary of State (G),,91,First regular,HB 48,0391L.01T
HB 52,Prohibits the prosecuting attorney of St. Francois County from engaging in the private practice of law. ,5/23/01,2001,"Ward, Daniel",107,"Crump, Wayne",150,Delivered to Secretary of State (G),,91,First regular,HB 52,0176L.03T
HB 78,Grants immunity from civil suits to physicians' health programs for reporting information on licensees to the State Board of Registration for the Healing Arts.,7/10/01,2001,"Kennedy, Harry",66,"Richardson, Mark",155,Delivered to Secretary of State (G),,91,First regular,HB 78,0298L.01T
HB 80,Authorizes the creation of multijurisdictional antifraud enforcement groups and revises peace officers training requirements. ,7/2/01,2001,"Ross, Carson",55,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HB 80,0237L.04T
HB 84,Mandates that expenses for training sessions for county recorders in certain counties be reimbursed in the same manner as other expenses are reimbursed in such county.,7/13/01,2001,"Richardson, Mark",154,,,Delivered to Secretary of State (G),,91,First regular,HB 84,0110L.01T
HB 106,Establishes a state systemic lupus erythematosis program in the Department of Health. ,6/29/01,2001,"Johnson, Connie",61,"Bowman, John",70,Delivered to Secretary of State (G),,91,First regular,HCS HB 106,0632L.03T
HB 107,Creates the Legal Services for Low-income People Fund and the Missouri CASA Fund. ,7/2/01,2001,"Clayton, Robert",10,"Richardson, Mark",155,Delivered to Secretary of State (G),,91,First regular,SCS HS HCS HB 107,0162S.05T
HB 129,Prohibits state and local governments from entering into contingency fee contracts for work performed on tax collection cases. ,6/8/01,2001,"VanZandt, Timothy",38,"Campbell, Marsha",39,Delivered to Secretary of State (G),,91,First regular,HB 129,0684L.01T
HB 133,Allows local housing corporations and neighborhood associations to bring property receivership actions and makes other changes concerning redevelopment projects.,6/29/01,2001,"Gambaro, Derio",65,,,Delivered to Secretary of State (G),,91,First regular,SCS HB 133,0396S.08T
HB 144,Requires check for outstanding arrest warrants before releasing a prisoner and increases penalty for aiding the escape of a prisoner. ,5/31/01,2001,"Bonner, Dennis",51,"Cierpiot, Connie",52,Delivered to Secretary of State (G),,91,First regular,CCS#2 SS SCS HCS HB 144 & 46,0515S.10T
HB 157,Revises marriage laws.  ,7/13/01,2001,"Hosmer, William",138,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HB 157,0774L.06T
HB 163,Expands sources of funding for the Highway Patrol's Motor Vehicle and Aircraft Revolving Fund. ,7/10/01,2001,"Berkowitz, Sam",1,"Wagner, Howard",104,Delivered to Secretary of State (G),,91,First regular,HB 163,0543L.01T
HB 180,Creates a Women Offender Program in the Department of Corrections.  ,7/9/01,2001,"Thompson, Betty",72,"Boucher, Arthur",45,Delivered to Secretary of State (G),,91,First regular,HB 180,0536L.01T
HB 185,"Allows counties of the third classification to adopt building codes in certain areas, subject to voter approval. ",7/11/01,2001,"Legan, Kenneth",145,"Myers, Peter",160,Delivered to Secretary of State (G),,91,First regular,SS SCS HB 185,0664S.06T
HB 202,"Changes procedural requirements of, increases tax ceiling for, and grants additional powers to transportation development districts. ",6/26/01,2001,"Rizzo, Henry",40,,,Delivered to Secretary of State (G),,91,First regular,SCS HB 202,0668S.05T
HB 207,Permits the Veterans' Commission Capital Improvement Trust Fund to issue matching grants for veterans service officer programs. ,5/23/01,2001,"Ross, Carson",55,"Boucher, Arthur",45,Delivered to Secretary of State (G),,91,First regular,HCS HB 207,0590L.02T
HB 212,Provides that merging mutual insurance companies need only provide notice as required by the articles and bylaws of the companies. ,7/10/01,2001,"Ward, Daniel",107,,,Delivered to Secretary of State (G),,91,First regular,SCS HB 212,0842S.04T
HB 218,Establishes lifelong learning month; makes changes to law regarding student representatives on higher education boards; establishes spinal cord injury research program at University of Missouri.,6/27/01,2001,"Farnen, Theodore",21,"Graham, Charles",24,Delivered to Secretary of State (G),,91,First regular,HB 218,0480L.02T
HB 219,Amends various provisions of the fencing law.  ,7/12/01,2001,"Townley, Merrill",112,"Ransdall, Billy",148,Delivered to Secretary of State (G),,91,First regular,SCS HB 219,0732S.03T
HB 236,Establishes the Juvenile Information Governance Commission.  ,6/13/01,2001,"Smith, Philip",11,,,Delivered to Secretary of State (G),,91,First regular,SCS HB 236,0885S.02T
HB 241,Revises the Principal and Income Act applicable to trusts and estates. ,7/6/01,2001,"Smith, Philip",11,,,Delivered to Secretary of State (G),,91,First regular,CCS SCS HCS HB 241,0639S.05T
HB 242,"Allows a transient guest tax to be adopted in the cities of Clarksville, Louisiana, and Ste. Genevieve and in Ste. Genevieve County.",6/26/01,2001,"Smith, Philip",11,,,Delivered to Secretary of State (G),,91,First regular,SCS HB 242,0674L.05T
HB 266,Adds a new provision relating to commissions for real estate brokers.  ,7/10/01,2001,"Treadway, Joseph",96,,,Delivered to Secretary of State (G),,91,First regular,HB 266,0613L.01T
HB 274,"Allows up to a five-day reduction, for this year only, of the minimum 174 school day requirement. ",5/11/01,2001,"Shields, Charles",28,,,Delivered to Secretary of State (G),,91,First regular,HCS HB 274,0911L.03T
HB 279,Expands the newborn screening requirements to include additional treatable and manageable disorders. ,6/13/01,2001,"Shoemyer, Wes",9,"Copenhaver, Nancy",22,Delivered to Secretary of State (G),,91,First regular,HCS HB 279,0711L.03T
HB 302,Lowers the blood alcohol content level necessary for a conviction of driving with excessive blood alcohol content from .10 to .08. ,6/12/01,2001,"Hosmer, William",138,"Skaggs, Billy",34,Delivered to Secretary of State (G),,91,First regular,CCS#2 SCS HCS HB 302 & 38,0265L.15T
HB 321,Extends the termination date on the Kansas City public transportation sales tax from 2001 to 2003. ,6/26/01,2001,"Skaggs, Billy",31,"Curls, Melba",41,Delivered to Secretary of State (G),,91,First regular,HB 321,0925L.01T
